kcdx_id,valid_from_version,module,rva,signature,last_verified_at_version,verified_by,verified_date,evidence_kind,survival_aob,survival_anchor_string,survival_derives_from,survival_rule,survival_slot_count
80,1.5.1164953,WHGame.dll,0x03993244,"cstr (ptr L, i32 funcindex, i32 n)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
81,1.5.1164953,WHGame.dll,0x039932C0,"ptr (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
82,1.5.1164953,WHGame.dll,0x039932DC,"void (ptr from, ptr to, i32 n)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
83,1.5.1164953,WHGame.dll,0x039934C8,void (ptr B),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
84,1.5.1164953,WHGame.dll,0x0399355C,"i32 (ptr L, i32 narg, cstr extramsg)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
85,1.5.1164953,WHGame.dll,0x03993638,"i32 (ptr L, i32 narg, cstr def, ptr lst)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
86,1.5.1164953,WHGame.dll,0x0399375C,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
87,1.5.1164953,WHGame.dll,0x03993AA4,"cstr (ptr L, i32 narg, cstr def, ptr len)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
88,1.5.1164953,WHGame.dll,0x03993B00,ptr (ptr B),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
89,1.5.1164953,WHGame.dll,0x03993B24,"i32 (ptr L, i32 narg, cstr tname)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
90,1.5.1164953,WHGame.dll,0x03993B70,"void (ptr L, i32 level)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
91,1.5.1164953,WHGame.dll,0x03996250,"cstr (ptr L, ptr ar, i32 n)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
92,1.5.1164953,WHGame.dll,0x039962B8,"cstr (ptr L, ptr ar, i32 n)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
93,1.5.1164953,WHGame.dll,0x0399605C,i32 (ptr L),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
94,1.5.1164953,WHGame.dll,0x039966A4,"i32 (ptr L, i32 narg)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
95,1.5.1164953,WHGame.dll,0x03996EE4,"i32 (ptr L, ptr writer, ptr data)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
96,1.5.1164953,WHGame.dll,0x03992FFC,"void (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
97,1.5.1164953,WHGame.dll,0x009299AC,i32 (ptr L),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
98,1.5.1164953,WHGame.dll,0x00D815A4,i32 (ptr L),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
99,1.5.1164953,WHGame.dll,0x007A671C,i32 (ptr L),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
100,1.5.1164953,WHGame.dll,0x012DA578,i32 (ptr L),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
101,1.5.1164953,WHGame.dll,0x012DAC38,i32 (ptr L),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
102,1.5.1164953,WHGame.dll,0x012DAF40,i32 (ptr L),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
103,1.5.1164953,WHGame.dll,0x019DFD0C,i32 (ptr L),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
104,1.5.1164953,WHGame.dll,0x003B70F0,i32 (ptr L),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
105,1.5.1164953,WHGame.dll,0x0071DD7C,"ptr (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
106,1.5.1164953,WHGame.dll,0x0071A628,"i32 (ptr L, ptr func, ptr u, i64 old_top, i64 ef)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
