=== references to DAT_18492b850 (write = assignment of the enumerator) ===
  READ from 0x180abeb37  in FUN_180abe964 @ 0x180abe964
  READ from 0x18051e328  in FUN_18051e308 @ 0x18051e308
  READ from 0x18051e34f  in FUN_18051e308 @ 0x18051e308
  READ from 0x18051e371  in FUN_18051e308 @ 0x18051e308
  READ from 0x18051e391  in FUN_18051e308 @ 0x18051e308
  READ from 0x1821fe759  in FUN_18052c81c @ 0x18052c81c
  READ from 0x18119a63e  in FUN_18119a638 @ 0x18119a638
  READ from 0x18052d853  in FUN_18052d71c @ 0x18052d71c
  READ from 0x18250e58e  in FUN_18250e3dc @ 0x18250e3dc
  READ from 0x18250e5b5  in FUN_18250e3dc @ 0x18250e3dc
  READ from 0x18250e5cd  in FUN_18250e3dc @ 0x18250e3dc
  READ from 0x18250e962  in FUN_18250e90c @ 0x18250e90c
  READ from 0x18250ea82  in FUN_18250e90c @ 0x18250e90c
  READ from 0x18250eaa3  in FUN_18250e90c @ 0x18250e90c
  READ from 0x18250dbe4  in FUN_18250d8ec @ 0x18250d8ec
  READ from 0x18250dc09  in FUN_18250d8ec @ 0x18250d8ec
  READ from 0x18252efcb  in FUN_18252ef40 @ 0x18252ef40
  READ from 0x18252f000  in FUN_18252ef40 @ 0x18252ef40
  READ from 0x18252f01e  in FUN_18252ef40 @ 0x18252ef40
  READ from 0x180bb0c2b  in FUN_180bb0b94 @ 0x180bb0b94
  READ from 0x180bb0c7c  in FUN_180bb0b94 @ 0x180bb0b94
  READ from 0x180bb0d84  in FUN_180bb0b94 @ 0x180bb0b94
  READ from 0x180bb0da2  in FUN_180bb0b94 @ 0x180bb0b94
  READ from 0x180bb2047  in FUN_180bb1fe4 @ 0x180bb1fe4
  READ from 0x18228f82b  in FUN_180bb1fe4 @ 0x180bb1fe4
  READ from 0x180bb21e0  in FUN_180bb2144 @ 0x180bb2144
  READ from 0x180bb2207  in FUN_180bb2144 @ 0x180bb2144
  READ from 0x180bb222e  in FUN_180bb2144 @ 0x180bb2144
  READ from 0x180bb223d  in FUN_180bb2144 @ 0x180bb2144
  READ from 0x1807b13ab  in FUN_1807b1388 @ 0x1807b1388
  READ from 0x1807b1412  in FUN_1807b1388 @ 0x1807b1388
  READ from 0x1807b143b  in FUN_1807b1388 @ 0x1807b1388
  READ from 0x181033d94  in FUN_181033d24 @ 0x181033d24
  READ from 0x18374d659  in FUN_18374d568 @ 0x18374d568
  READ from 0x1825cc799  in FUN_1825cc630 @ 0x1825cc630
  READ from 0x1825ccbde  in FUN_1825ccb8c @ 0x1825ccb8c
  READ from 0x182bb9ae1  in FUN_182bb9a88 @ 0x182bb9a88
  READ from 0x182bb9b0c  in FUN_182bb9a88 @ 0x182bb9a88
  READ from 0x182bb9b37  in FUN_182bb9a88 @ 0x182bb9a88
  READ from 0x182bb9ba3  in FUN_182bb9a88 @ 0x182bb9a88
  READ from 0x181e03c83  in FUN_181e03c30 @ 0x181e03c30
  READ from 0x181e03ddd  in FUN_181e03c30 @ 0x181e03c30
  READ from 0x18224f0e3  in FUN_18086a1e0 @ 0x18086a1e0
  READ from 0x18224f104  in FUN_18086a1e0 @ 0x18086a1e0
  READ from 0x18224f12e  in FUN_18086a1e0 @ 0x18086a1e0
  READ from 0x182547f63  in FUN_182547ec4 @ 0x182547ec4
  READ from 0x182548063  in FUN_182547ec4 @ 0x182547ec4
  READ from 0x180da34cb  in FUN_180da342c @ 0x180da342c
  READ from 0x180da3522  in FUN_180da342c @ 0x180da342c
  READ from 0x180da363a  in FUN_180da342c @ 0x180da342c
  READ from 0x180da366f  in FUN_180da342c @ 0x180da342c
  READ from 0x180da3783  in FUN_180da342c @ 0x180da342c
  READ from 0x180da37a0  in FUN_180da342c @ 0x180da342c
  READ from 0x180bb060c  in FUN_180bb058c @ 0x180bb058c
  READ from 0x180bb0669  in FUN_180bb058c @ 0x180bb058c
  READ from 0x180bb0703  in FUN_180bb058c @ 0x180bb058c
  READ from 0x180bb071b  in FUN_180bb058c @ 0x180bb058c
  READ from 0x180bb07b4  in FUN_180bb058c @ 0x180bb058c
  READ from 0x180bb07c7  in FUN_180bb058c @ 0x180bb058c
  READ from 0x180bb1969  in FUN_180bb190c @ 0x180bb190c
  READ from 0x180bb19ec  in FUN_180bb190c @ 0x180bb190c
  READ from 0x180bb1a19  in FUN_180bb190c @ 0x180bb190c
  READ from 0x180bb1a3c  in FUN_180bb190c @ 0x180bb190c
  READ from 0x180bb1a64  in FUN_180bb190c @ 0x180bb190c
  READ from 0x180bb1a87  in FUN_180bb190c @ 0x180bb190c
  READ from 0x180bb1a9c  in FUN_180bb190c @ 0x180bb190c
  READ from 0x180bb1ca6  in FUN_180bb190c @ 0x180bb190c
  READ from 0x180bb1cc6  in FUN_180bb190c @ 0x180bb190c
  READ from 0x180921a13  in FUN_1809219a4 @ 0x1809219a4
  READ from 0x180921b32  in FUN_1809219a4 @ 0x1809219a4
  READ from 0x180921b57  in FUN_1809219a4 @ 0x1809219a4
  READ from 0x180b046bf  in FUN_180b04660 @ 0x180b04660
  READ from 0x180b046f5  in FUN_180b04660 @ 0x180b04660
  READ from 0x180b04725  in FUN_180b04660 @ 0x180b04660
  READ from 0x180b04773  in FUN_180b04660 @ 0x180b04660
  READ from 0x180b04813  in FUN_180b0479c @ 0x180b0479c
  READ from 0x180b049d5  in FUN_180b04984 @ 0x180b04984
  READ from 0x180b04a06  in FUN_180b04984 @ 0x180b04984
  READ from 0x180b04a38  in FUN_180b04984 @ 0x180b04984
  READ from 0x180b04a61  in FUN_180b04984 @ 0x180b04984
  READ from 0x180b04add  in FUN_180b04984 @ 0x180b04984
  READ from 0x180b04b06  in FUN_180b04984 @ 0x180b04984
  READ from 0x180b04b25  in FUN_180b04984 @ 0x180b04984
  READ from 0x180b04ba0  in FUN_180b04984 @ 0x180b04984
  READ from 0x180b04bc5  in FUN_180b04984 @ 0x180b04984
